event_id,ticker,company_name,earnings_period,earnings_date
AAPL_Q4_2025_2025-10-31,AAPL,Apple Inc.,Q4 2025,2025-10-31
AAPL_Q4_2024_2024-11-01,AAPL,Apple Inc.,Q4 2024,2024-11-01
AAPL_Q4_2023_2023-11-03,AAPL,Apple Inc.,Q4 2023,2023-11-03
AAPL_Q4_2022_2022-10-28,AAPL,Apple Inc.,Q4 2022,2022-10-28
AAPL_Q4_2021_2021-10-29,AAPL,Apple Inc.,Q4 2021,2021-10-29
ADBE_Q4_2025_2026-01-15,ADBE,ADOBE INC.,Q4 2025,2026-01-15
ADBE_Q4_2024_2025-01-13,ADBE,ADOBE INC.,Q4 2024,2025-01-13
ADBE_Q4_2023_2024-01-17,ADBE,ADOBE INC.,Q4 2023,2024-01-17
ADBE_Q4_2022_2023-01-17,ADBE,ADOBE INC.,Q4 2022,2023-01-17
ADBE_Q4_2021_2022-01-21,ADBE,ADOBE INC.,Q4 2021,2022-01-21
AMD_Q4_2025_2026-02-04,AMD,ADVANCED MICRO DEVICES INC,Q4 2025,2026-02-04
AMD_Q4_2024_2025-02-05,AMD,ADVANCED MICRO DEVICES INC,Q4 2024,2025-02-05
AMD_Q4_2023_2024-01-31,AMD,ADVANCED MICRO DEVICES INC,Q4 2023,2024-01-31
AMD_Q4_2022_2023-02-27,AMD,ADVANCED MICRO DEVICES INC,Q4 2022,2023-02-27
AMD_Q4_2021_2022-02-03,AMD,ADVANCED MICRO DEVICES INC,Q4 2021,2022-02-03
AMZN_Q4_2025_2026-02-06,AMZN,AMAZON COM INC,Q4 2025,2026-02-06
AMZN_Q4_2024_2025-02-07,AMZN,AMAZON COM INC,Q4 2024,2025-02-07
AMZN_Q4_2023_2024-02-02,AMZN,AMAZON COM INC,Q4 2023,2024-02-02
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM INC,Q4 2022,2023-02-03
AMZN_Q4_2021_2022-02-04,AMZN,AMAZON COM INC,Q4 2021,2022-02-04
CRM_Q4_2026_2026-03-02,CRM,"Salesforce, Inc.",Q4 2026,2026-03-02
CRM_Q4_2025_2025-03-05,CRM,"Salesforce, Inc.",Q4 2025,2025-03-05
CRM_Q4_2024_2024-03-06,CRM,"Salesforce, Inc.",Q4 2024,2024-03-06
CRM_Q4_2023_2023-03-08,CRM,"Salesforce, Inc.",Q4 2023,2023-03-08
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM, INC.",Q4 2022,2022-03-11
GOOGL_Q4_2025_2026-02-05,GOOGL,Alphabet Inc.,Q4 2025,2026-02-05
GOOGL_Q4_2024_2025-02-05,GOOGL,Alphabet Inc.,Q4 2024,2025-02-05
GOOGL_Q4_2023_2024-01-31,GOOGL,Alphabet Inc.,Q4 2023,2024-01-31
GOOGL_Q4_2022_2023-02-03,GOOGL,Alphabet Inc.,Q4 2022,2023-02-03
GOOGL_Q4_2021_2022-02-02,GOOGL,Alphabet Inc.,Q4 2021,2022-02-02
MSFT_Q4_2025_2025-07-30,MSFT,MICROSOFT CORP,Q4 2025,2025-07-30
MSFT_Q4_2024_2024-07-30,MSFT,MICROSOFT CORP,Q4 2024,2024-07-30
MSFT_Q4_2023_2023-07-27,MSFT,MICROSOFT CORP,Q4 2023,2023-07-27
MSFT_Q4_2022_2022-07-28,MSFT,MICROSOFT CORP,Q4 2022,2022-07-28
MSFT_Q4_2021_2021-07-29,MSFT,MICROSOFT CORP,Q4 2021,2021-07-29
NFLX_Q4_2025_2026-01-23,NFLX,NETFLIX INC,Q4 2025,2026-01-23
NFLX_Q4_2024_2025-01-27,NFLX,NETFLIX INC,Q4 2024,2025-01-27
NFLX_Q4_2023_2024-01-26,NFLX,NETFLIX INC,Q4 2023,2024-01-26
NFLX_Q4_2022_2023-01-26,NFLX,NETFLIX INC,Q4 2022,2023-01-26
NFLX_Q4_2021_2022-01-27,NFLX,NETFLIX INC,Q4 2021,2022-01-27
NVDA_Q4_2026_2026-02-25,NVDA,NVIDIA CORP,Q4 2026,2026-02-25
NVDA_Q4_2025_2025-02-26,NVDA,NVIDIA CORP,Q4 2025,2025-02-26
NVDA_Q4_2024_2024-02-21,NVDA,NVIDIA CORP,Q4 2024,2024-02-21
NVDA_Q4_2023_2023-02-24,NVDA,NVIDIA CORP,Q4 2023,2023-02-24
NVDA_Q4_2022_2022-03-18,NVDA,NVIDIA CORP,Q4 2022,2022-03-18
TSLA_Q4_2025_2026-01-29,TSLA,"Tesla, Inc.",Q4 2025,2026-01-29
TSLA_Q4_2024_2025-01-30,TSLA,"Tesla, Inc.",Q4 2024,2025-01-30
TSLA_Q4_2023_2024-01-29,TSLA,"Tesla, Inc.",Q4 2023,2024-01-29
TSLA_Q4_2022_2023-01-31,TSLA,"Tesla, Inc.",Q4 2022,2023-01-31
TSLA_Q4_2021_2022-02-07,TSLA,"Tesla, Inc.",Q4 2021,2022-02-07
